Model,MAE,MSE,RMSE,R2 Score,Adjusted R2,CV Score
CatBoost,14311.229939483965,397771067.48692155,19944.19884294482,0.9279886493888667,0.8982752280201952,0.909774002434259
XGBoost,14809.859375,439669632.0,20968.300646452015,0.9204034805297852,0.8875602564765411,0.9056816549691054
Gradient Boosting,15037.077030510058,466867594.4180144,21607.119067983458,0.9154796093063823,0.8806046908162973,0.9022779570536675
LightGBM,15441.468324692281,499742861.7439406,22354.929249361103,0.9095279637611219,0.8721972691965363,0.9071373873164619
Random Forest,16336.48545849567,606723422.4752659,24631.75638226527,0.8901605051974032,0.8448383835555551,0.878329651749255
Decision Tree,23058.125752881057,974621077.6306033,31218.921788405878,0.8235573527816588,0.7507533478614694,0.7793403606364617
Linear Regression,22534.897952089723,3015176011.136985,54910.61838239472,0.45414105087117074,0.2289079893374305,0.9027052676453972
