Model,Train Accuracy,Validation Accuracy,Test Accuracy,Train Loss,Validation Loss,Test Loss
MobileNetV2 CNN,60.31,61.85,60.61,1.121,1.0942,1.1259
MobileNetV2 EarlyStopping,66.56,63.38,62.67,0.9102,0.9756,1.0149
MobileNetV2 LR,63.82,62.78,60.81,0.9902,1.0438,0.0867
MobileNetV2 CNN(SGD),61.5,59.99,58.28,1.0181,1.0797,1.1103
MobileNetV2(RMSprop),71.33,71.37,68.06,0.7908,0.8333,0.8795
MobileNetV2 batchsize(16),57.23,54.93,53.83,1.1961,1.2163,1.2876
MobileNetV2 CNN  batchsize(64),59.79,58.72,55.16,1.121,1.1476,1.2234
MobileNetV2 hyperParameter,66.36,68.77,65.93,0.9535,0.9032,0.9575
MobileNetV2 CNN + FineTuning,60.43,62.92,61.01,1.1093,1.0775,1.1092
