iter	RMSE
420	16341.07457
421	16323.6396
422	16303.75228
423	16276.42983
424	16271.51507
425	16261.91876
426	16244.76031
427	16230.86177
428	16215.32264
429	16198.59511
430	16193.63063
431	16179.54691
432	16157.96305
433	16153.94493
434	16141.04704
435	16140.81392
436	16121.18379
437	16107.66294
438	16099.7664
439	16090.52934
440	16072.21822
441	16056.30126
442	16035.15904
443	16026.26135
444	16014.64049
445	16005.14279
446	15997.02074
447	15974.18466
448	15958.88707
449	15944.54268
450	15933.37164
451	15910.98117
452	15906.41047
453	15888.98297
454	15874.37039
455	15858.30922
456	15834.44757
457	15821.43788
458	15800.43594
459	15782.49465
460	15768.70466
461	15757.73333
462	15742.51056
463	15732.60078
464	15723.8036
465	15711.00733
466	15689.99119
467	15675.37122
468	15652.91163
469	15641.68867
470	15627.46801
471	15608.06417
472	15594.98016
473	15593.65042
474	15585.13631
475	15571.17869
476	15557.1095
477	15541.71937
478	15526.67539
479	15513.22327
480	15497.88263
481	15484.80947
482	15474.16817
483	15460.50582
484	15448.79476
485	15445.18092
486	15428.2516
487	15413.24285
488	15403.34702
489	15384.82271
490	15372.30852
491	15361.72223
492	15354.6881
493	15332.74378
494	15319.57259
495	15302.93193
496	15297.4269
497	15293.48362
498	15289.66909
499	15270.91628
500	15267.57875
501	15253.07764
502	15231.69338
503	15220.3998
504	15200.19025
505	15183.03217
506	15169.52456
507	15152.27748
508	15140.54803
509	15127.98622
510	15109.70914
511	15091.04249
512	15080.88243
513	15062.06843
514	15052.93133
515	15036.53719
516	15024.71268
517	15011.58391
518	14999.21249
519	14988.04482
520	14975.6196
521	14964.7007
522	14953.90841
523	14946.97543
524	14930.17318
525	14919.49562
526	14900.54702
527	14885.72093
528	14873.37439
529	14865.97158
530	14850.84545
531	14839.08304
532	14829.79068
533	14822.2276
534	14807.2043
535	14795.55926
536	14790.93975
537	14774.53604
538	14759.32385
539	14751.74746
540	14747.22505
541	14731.18223
542	14711.67923
543	14703.19604
544	14677.94926
545	14668.19198
546	14657.89917
547	14648.81851
548	14643.68251
549	14630.76425
550	14618.05492
551	14598.74773
552	14588.51454
553	14585.97532
554	14579.62828
555	14569.27657
556	14558.22095
557	14537.58577
558	14525.25406
559	14516.05908
560	14506.41349
561	14489.35859
562	14481.50725
563	14471.10994
564	14463.61143
565	14448.67246
566	14440.19665
567	14429.9344
568	14414.53048
569	14401.00457
570	14393.21047
571	14379.92228
572	14374.62363
573	14356.50826
574	14340.57629
575	14324.60974
576	14311.87049
577	14297.54877
578	14291.81309
579	14281.35879
580	14271.65568
581	14257.0695
582	14249.04554
583	14238.59033
584	14232.83788
585	14218.94513
586	14213.87477
587	14199.20147
588	14182.67929
589	14168.15594
590	14151.49997
591	14138.13411
592	14122.01598
593	14110.98559
594	14096.13471
595	14082.02676
596	14078.22874
597	14073.27347
598	14065.63787
599	14058.50463
600	14044.72359
601	14031.97118
602	14023.07588
603	14004.16837
604	13996.59878
605	13989.66952
606	13968.25468
607	13956.01615
608	13945.80318
609	13937.24975
610	13934.46282
611	13921.58181
612	13913.22469
613	13900.75111
614	13894.34541
615	13880.25986
616	13864.54216
617	13846.8115
618	13837.04002
619	13830.44791
620	13821.43403
621	13814.9972
622	13811.02107
623	13801.74163
624	13796.89256
625	13787.09973
626	13778.46073
627	13773.45861
628	13764.98467
629	13754.27679
630	13751.32043
631	13738.75905
632	13729.77696
633	13720.93181
634	13715.76256
635	13710.64217
636	13702.15245
637	13693.8505
638	13684.97168
639	13677.7186
640	13672.14704
641	13660.79843
642	13651.30358
643	13627.47006
644	13615.24084
645	13606.3615
646	13597.99348
647	13592.34502
648	13574.95896
649	13572.87334
650	13562.96002
651	13554.25887
652	13546.87357
653	13534.34345
654	13521.48204
655	13518.04495
656	13509.12712
657	13491.03961
658	13470.502
659	13465.7175
660	13456.0515
661	13449.73301
662	13443.15884
663	13434.83895
664	13426.52457
665	13422.35631
666	13411.88984
667	13397.60309
668	13381.14704
669	13374.40729
670	13363.02776
671	13355.2649
672	13352.61035
673	13342.85494
674	13334.72143
675	13320.7192
676	13315.67948
677	13305.98978
678	13292.13242
679	13277.11215
680	13267.34218
681	13264.70753
682	13250.17369
683	13245.49686
684	13235.68585
685	13229.11342
686	13225.44011
687	13210.05687
688	13199.10279
689	13189.9074
690	13185.40412
691	13171.70954
692	13169.00078
693	13161.05801
694	13156.66493
695	13143.69849
696	13137.5051
697	13127.99103
698	13118.9255
699	13107.02029
700	13100.72664
701	13090.82616
702	13070.85439
703	13061.31687
704	13055.41897
705	13045.78977
706	13034.34966
707	13025.98837
708	13016.96048
709	13004.25963
710	12992.96749
711	12983.23408
712	12973.44856
713	12968.10307
714	12957.53837
715	12942.55398
716	12934.75397
717	12927.67178
718	12915.5967
719	12910.93861
720	12903.516
721	12892.81542
722	12889.32334
723	12881.37584
724	12870.74665
725	12856.33928
726	12854.9018
727	12849.60683
728	12840.20491
729	12823.27225
730	12807.99197
731	12801.73079
732	12791.77222
733	12787.9956
734	12783.51039
735	12774.98702
736	12771.96927
737	12767.15104
738	12750.16597
739	12743.12302
740	12728.41022
741	12717.41748
742	12713.774
743	12702.05045
744	12692.34999
745	12682.94253
746	12670.42554
747	12661.09559
748	12653.29933
749	12645.01222
750	12632.59214
751	12622.67517
752	12616.02013
753	12608.03996
754	12602.20866
755	12593.21243
756	12579.39985
757	12565.74959
758	12562.20173
759	12549.49319
760	12537.10868
761	12529.66369
762	12519.80648
763	12507.67388
764	12494.35993
765	12491.07384
766	12487.67799
767	12480.8369
768	12474.28964
769	12463.40808
770	12456.31747
771	12441.87937
772	12438.82264
773	12429.78395
774	12416.11292
775	12407.99057
776	12400.59177
777	12389.55023
778	12379.25773
779	12374.27722
780	12367.87883
781	12360.08827
782	12343.65287
783	12338.58709
784	12324.85997
785	12314.59729
786	12304.11318
787	12295.00409
788	12286.62654
789	12273.72331
790	12262.87895
791	12252.564
792	12248.45076
793	12234.05419
794	12231.51254
795	12225.62845
796	12214.53994
797	12203.1502
798	12192.40038
799	12188.95281
800	12185.36577
801	12178.31397
802	12168.79202
803	12159.67849
804	12150.69375
805	12145.33287
806	12139.38602
807	12132.01418
808	12126.85065
809	12118.76982
810	12110.15385
811	12103.45063
812	12099.76349
813	12091.75768
814	12076.5879
815	12070.59758
816	12067.28165
817	12056.72009
818	12050.38065
819	12036.56072
820	12029.54597
821	12017.88809
822	12013.16319
823	12005.43667
824	11998.4918
825	11992.82874
826	11989.48822
827	11983.66201
828	11972.52564
829	11963.41986
830	11957.49226
831	11954.33864
832	11949.31111
833	11939.49842
834	11933.99169
835	11926.26978
836	11915.13156
837	11908.67432
838	11899.24811
839	11896.91624
840	11892.35534
841	11889.86722
842	11881.97
843	11875.86056
844	11867.97604
845	11859.75744
846	11857.0004
847	11848.10559
848	11837.75553
849	11827.93567
850	11817.90275
851	11812.16588
852	11804.82832
853	11800.185
854	11792.4043
855	11787.50099
856	11782.32553
857	11774.58941
858	11767.24028
859	11758.38679
860	11747.26254
861	11733.30605
862	11725.18237
863	11720.09752
864	11717.70519
865	11709.85715
866	11701.69478
867	11689.63389
868	11682.59742
869	11676.1063
870	11666.19723
871	11656.46017
872	11644.04001
873	11638.04019
874	11628.09009
875	11619.84567
876	11609.53116
877	11601.25968
878	11594.40913
879	11589.86132
880	11585.0698
881	11581.95298
882	11574.0923
883	11567.02032
884	11563.44127
885	11556.70921
886	11549.00312
887	11539.73692
888	11529.38056
889	11521.22865
890	11513.64197
891	11510.72522
892	11507.42933
893	11500.31095
894	11491.6784
895	11478.83519
896	11463.67257
897	11461.3138
898	11454.16916
899	11446.16171
900	11439.45889
901	11433.90612
902	11422.62235
903	11411.08401
904	11402.81787
905	11393.88424
906	11389.97112
907	11381.3269
908	11370.5197
909	11367.55637
910	11359.2975
911	11351.39848
912	11344.47488
913	11339.74147
914	11336.54881
915	11326.90636
916	11322.18104
917	11314.88289
918	11306.58268
919	11294.45827
920	11289.07605
921	11284.62476
922	11278.88388
923	11276.52578
924	11268.21153
925	11259.87745
926	11252.75342
927	11247.10295
928	11241.04798
929	11234.20786
930	11228.19262
931	11219.45431
932	11212.73324
933	11208.80745
934	11205.0409
935	11199.94677
936	11188.9458
937	11180.73738
938	11172.52631
939	11165.35556
940	11159.68461
941	11151.30902
942	11146.96976
943	11136.38324
944	11127.09767
945	11120.34236
946	11114.94162
947	11111.43896
948	11099.18027
949	11091.09492
950	11086.77172
951	11081.89605
952	11069.50128
953	11063.94333
954	11058.01712
955	11049.23816
956	11041.01489
957	11031.87833
958	11028.69982
959	11026.18042
960	11016.57545
961	11008.33474
962	10993.71098
963	10990.29526
964	10986.58594
965	10979.69564
966	10971.66677
967	10967.63989
968	10963.88199
969	10957.65827
970	10953.60714
971	10949.14313
972	10941.63823
973	10932.20226
974	10929.72139
975	10924.01293
976	10915.12619
977	10910.69475
978	10905.10973
979	10900.26204
980	10893.54393
981	10882.00291
982	10879.92501
983	10874.78055
984	10870.49592
985	10862.65653
986	10852.25532
987	10841.98445
988	10836.74573
989	10829.63164
990	10824.99259
991	10812.81347
992	10805.31312
993	10794.15559
994	10783.72946
995	10775.88902
996	10765.19193
997	10757.26133
998	10753.74087
999	10746.53653
