iter	Passed	Remaining
419	2209	3051
420	2214	3045
421	2217	3037
422	2221	3030
423	2225	3023
424	2229	3016
425	2233	3010
426	2238	3003
427	2242	2997
428	2246	2990
429	2251	2984
430	2256	2979
431	2259	2971
432	2264	2965
433	2268	2958
434	2272	2951
435	2277	2945
436	2281	2939
437	2285	2933
438	2290	2926
439	2294	2920
440	2298	2913
441	2302	2906
442	2306	2899
443	2310	2893
444	2313	2885
445	2319	2881
446	2323	2874
447	2328	2868
448	2332	2862
449	2336	2855
450	2340	2849
451	2344	2842
452	2349	2836
453	2353	2830
454	2357	2823
455	2361	2816
456	2364	2809
457	2369	2803
458	2376	2800
459	2380	2794
460	2385	2789
461	2390	2784
462	2396	2779
463	2401	2774
464	2406	2769
465	2412	2764
466	2418	2760
467	2424	2755
468	2429	2750
469	2435	2746
470	2439	2740
471	2445	2735
472	2449	2729
473	2454	2724
474	2459	2718
475	2466	2714
476	2471	2709
477	2476	2704
478	2481	2699
479	2487	2694
480	2491	2688
481	2496	2683
482	2501	2677
483	2508	2674
484	2515	2670
485	2520	2665
486	2525	2660
487	2531	2656
488	2536	2650
489	2541	2645
490	2545	2638
491	2553	2636
492	2558	2630
493	2564	2627
494	2569	2621
495	2574	2616
496	2579	2610
497	2583	2604
498	2588	2599
499	2595	2595
500	2601	2590
501	2605	2584
502	2609	2578
503	2613	2572
504	2618	2566
505	2623	2561
506	2627	2555
507	2631	2548
508	2635	2542
509	2639	2536
510	2643	2529
511	2647	2523
512	2651	2517
513	2655	2511
514	2659	2504
515	2663	2498
516	2667	2492
517	2671	2485
518	2675	2479
519	2680	2474
520	2684	2467
521	2688	2461
522	2692	2455
523	2696	2449
524	2700	2443
525	2704	2437
526	2709	2431
527	2713	2425
528	2717	2419
529	2721	2413
530	2725	2407
531	2729	2401
532	2734	2395
533	2739	2390
534	2743	2384
535	2747	2378
536	2753	2374
537	2757	2368
538	2762	2362
539	2768	2357
540	2773	2352
541	2778	2347
542	2784	2343
543	2789	2337
544	2794	2332
545	2800	2328
546	2805	2323
547	2811	2318
548	2815	2313
549	2821	2308
550	2826	2302
551	2830	2297
552	2835	2291
553	2840	2286
554	2845	2281
555	2851	2277
556	2858	2273
557	2865	2269
558	2870	2264
559	2874	2258
560	2879	2253
561	2884	2247
562	2890	2243
563	2896	2239
564	2901	2234
565	2907	2229
566	2913	2224
567	2917	2219
568	2922	2213
569	2927	2208
570	2933	2203
571	2939	2199
572	2944	2193
573	2949	2188
574	2954	2183
575	2959	2178
576	2964	2173
577	2970	2169
578	2976	2164
579	2981	2158
580	2985	2152
581	2991	2148
582	2994	2141
583	2998	2135
584	3002	2130
585	3006	2124
586	3011	2118
587	3015	2112
588	3021	2108
589	3026	2103
590	3030	2097
591	3034	2091
592	3038	2085
593	3042	2079
594	3047	2074
595	3051	2068
596	3055	2062
597	3058	2056
598	3062	2050
599	3066	2044
600	3070	2038
601	3074	2032
602	3078	2026
603	3082	2021
604	3087	2015
605	3092	2010
606	3096	2004
607	3099	1998
608	3103	1992
609	3108	1987
610	3111	1981
611	3115	1975
612	3121	1970
613	3126	1965
614	3131	1960
615	3137	1955
616	3144	1951
617	3150	1947
618	3155	1942
619	3160	1937
620	3164	1931
621	3169	1926
622	3173	1920
623	3179	1915
624	3182	1909
625	3186	1903
626	3190	1898
627	3195	1892
628	3199	1887
629	3203	1881
630	3207	1875
631	3211	1870
632	3216	1864
633	3220	1859
634	3224	1853
635	3228	1847
636	3233	1842
637	3238	1837
638	3242	1831
639	3246	1826
640	3251	1820
641	3255	1815
642	3259	1809
643	3264	1804
644	3268	1798
645	3272	1793
646	3276	1787
647	3280	1781
648	3284	1776
649	3289	1771
650	3293	1765
651	3297	1759
652	3301	1754
653	3305	1748
654	3309	1743
655	3313	1737
656	3316	1731
657	3321	1726
658	3326	1721
659	3330	1715
660	3333	1709
661	3338	1704
662	3341	1698
663	3346	1693
664	3350	1687
665	3355	1682
666	3360	1677
667	3365	1672
668	3370	1667
669	3376	1662
670	3381	1657
671	3385	1652
672	3389	1646
673	3394	1641
674	3398	1636
675	3402	1630
676	3406	1625
677	3410	1619
678	3414	1614
679	3419	1609
680	3423	1603
681	3428	1598
682	3431	1592
683	3435	1587
684	3441	1582
685	3444	1576
686	3448	1571
687	3453	1565
688	3457	1560
689	3462	1555
690	3466	1550
691	3471	1544
692	3475	1539
693	3479	1534
694	3484	1529
695	3488	1523
696	3492	1518
697	3496	1512
698	3501	1507
699	3504	1501
700	3508	1496
701	3513	1491
702	3517	1485
703	3521	1480
704	3525	1475
705	3529	1469
706	3534	1464
707	3538	1459
708	3542	1454
709	3547	1448
710	3552	1444
711	3558	1439
712	3564	1434
713	3569	1429
714	3578	1426
715	3584	1421
716	3589	1416
717	3594	1411
718	3600	1407
719	3605	1402
720	3610	1397
721	3616	1392
722	3621	1387
723	3626	1382
724	3632	1377
725	3637	1372
726	3642	1367
727	3646	1362
728	3652	1357
729	3657	1352
730	3663	1347
731	3668	1343
732	3674	1338
733	3679	1333
734	3684	1328
735	3689	1323
736	3695	1318
737	3700	1313
738	3705	1308
739	3710	1303
740	3715	1298
741	3720	1293
742	3726	1289
743	3734	1284
744	3740	1280
745	3745	1275
746	3749	1269
747	3754	1265
748	3761	1260
749	3764	1254
750	3769	1249
751	3774	1244
752	3780	1239
753	3784	1234
754	3792	1230
755	3800	1226
756	3806	1221
757	3811	1216
758	3813	1210
759	3817	1205
760	3821	1200
761	3825	1194
762	3830	1189
763	3834	1184
764	3838	1179
765	3842	1173
766	3846	1168
767	3850	1163
768	3854	1157
769	3858	1152
770	3862	1147
771	3866	1141
772	3870	1136
773	3874	1131
774	3878	1126
775	3883	1121
776	3888	1115
777	3894	1111
778	3898	1106
779	3903	1100
780	3907	1095
781	3912	1090
782	3918	1085
783	3924	1081
784	3928	1076
785	3934	1071
786	3939	1066
787	3944	1061
788	3950	1056
789	3956	1051
790	3962	1047
791	3969	1042
792	3973	1037
793	3978	1032
794	3983	1027
795	3988	1022
796	3994	1017
797	3999	1012
798	4004	1007
799	4009	1002
800	4014	997
801	4020	992
802	4026	987
803	4031	982
804	4036	977
805	4043	973
806	4048	968
807	4053	963
808	4058	958
809	4064	953
810	4068	948
811	4073	943
812	4078	938
813	4086	933
814	4091	928
815	4098	924
816	4103	919
817	4108	914
818	4118	910
819	4124	905
820	4129	900
821	4134	895
822	4139	890
823	4144	885
824	4149	880
825	4154	875
826	4160	870
827	4166	865
828	4172	860
