Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression,0.8005677785663591,0.6555183946488294,0.5240641711229946,0.5824665676077266,0.8409904673331782,0.6349246634567012
Decision Tree,0.7019162526614621,0.4425,0.4732620320855615,0.4573643410852713,0.6286470846573148,0.34923392116379426
KNN,0.7821149751596878,0.5965417867435159,0.553475935828877,0.5742024965325936,0.7898951148311762,0.5343937344924528
Random Forest,0.7806955287437899,0.6065573770491803,0.4946524064171123,0.5449189985272459,0.8205004004236741,0.6104209873742354
Gradient Boosting,0.8005677785663591,0.6643109540636042,0.5026737967914439,0.5722983257229832,0.8442907334211682,0.6564206012949686
XGBoost,0.7970191625266146,0.6506849315068494,0.5080213903743316,0.5705705705705706,0.8456728409413831,0.6594522806944946
