Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
XGBoost - Feature Selected k=30,0.6,0.7814052519517388,0.5714285714285714,0.7058823529411765,0.631578947368421,0.8402839133018162,0.6635145879936983
Logistic Regression - Feature Selected k=10,0.5,0.7551454932576295,0.526032315978456,0.7834224598930482,0.6294307196562836,0.8343847684001136,0.6315465342353932
Gradient Boosting - Feature Selected k=30,0.55,0.765791341376863,0.5428015564202334,0.7459893048128342,0.6283783783783784,0.8387984706399028,0.6594612717607939
