Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression - Feature Selected k=10,0.7551454932576295,0.526032315978456,0.7834224598930482,0.6294307196562836,0.8343847684001136,0.6315465342353932
Logistic Regression - Feature Selected k=20,0.7437899219304471,0.51138353765324,0.7807486631016043,0.617989417989418,0.835965796068098,0.6326006554299687
Logistic Regression - Feature Selected k=30,0.7395315826827538,0.5059422750424448,0.7967914438502673,0.6188992731048806,0.836593557053915,0.6293536898094749
Logistic Regression - Feature Selected k=40,0.7395315826827538,0.505982905982906,0.7914438502673797,0.6173096976016684,0.8360897982381358,0.6265485440208323
