Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression - SelectKBest 10,0.7565649396735273,0.527927927927928,0.7834224598930482,0.6307857911733046,0.8350176961430158,0.6343026543168101
Logistic Regression - SelectKBest 20,0.7423704755145494,0.5095986038394416,0.7807486631016043,0.6166842661034847,0.8359180035650623,0.6315467577347238
Logistic Regression - SelectKBest 30,0.7366926898509581,0.5025295109612141,0.7967914438502673,0.6163391933815926,0.8374331550802139,0.6294212235580344
Logistic Regression - SelectKBest 40,0.7359829666430092,0.5016835016835017,0.7967914438502673,0.6157024793388429,0.8366994755741558,0.6285173722236531
