Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
XGBoost Balanced - Feature Selected k=10,0.7444996451383961,0.5122377622377622,0.7834224598930482,0.6194503171247357,0.8365832235397452,0.6428100411212297
XGBoost Balanced - Feature Selected k=20,0.7452093683463449,0.5130434782608696,0.7887700534759359,0.6217070600632244,0.838957348420264,0.6484378350179526
XGBoost Balanced - Feature Selected k=30,0.7494677075940384,0.5181347150259067,0.8021390374331551,0.6295907660020986,0.8402839133018162,0.6635145879936983
XGBoost Balanced - Feature Selected k=40,0.7466288147622427,0.5146804835924007,0.7967914438502673,0.6253934942287513,0.8408561316489706,0.6620932638527516
