Model,Accuracy,Precision,Recall,F1Score, ROU-AOC
ResNet50,0.677977,0.769378,0.677977,0.705844,0.919638
DenseNet121,0.650033,0.760364,0.650033,0.686857,0.896458
EfficientNet,0.662675,0.803758,0.662674,0.698066,0.931345
Batch Normalization,0.616766,0.769448,0.616766,0.660176,0.903196
Basic CNN,0.616766,0.6973279,0.6167664,0.646965,0.868299
MobileNetV2,0.590818,0.7250344,0.590818,0.6295656,0.853349
DeepCnnV2,0.675316,0.4960521,0.590818,0.675316,0.8059717
Batch Normalization,0.675316,0.4960521,0.590818,0.675316,0.8059717
