Model,Train Accuracy,Validation Accuracy,Test Accuracy,Train Loss,Validation Loss,Test Loss
deep CNN,47.97,48.74,46.64,1.3525,1.2767,1.3052
deep CNN  Early Stopping,59.16,60.39,58.42,0.9645,0.9616,0.9742
deep CNN Learning Rate,60.76,60.59,60.08,0.9297,0.9427,0.9525
deep CNN Optimizer(SGD),48.22,51.13,49.77,1.2879,1.2163,1.2412
deep CNN Optimizer(RMSprop),51.57,52.0,49.57,1.2501,1.2267,1.2492
deep CNN Batchsize(16)),48.22,51.13,49.77,1.2879,1.2163,1.2412
deep CNN + Batchsize(64)),61.9,61.72,61.48,0.9528,0.9534,0.9553
deep CNN  HyperParameter),65.23,61.82,67.53,1.0234,1.407,0.9553
