Model,Architecture,Input Hours,Output Hours,MAE,RMSE,MAPE (%),R²,Bias
RNN + RMSprop + Learning Rate,RNN,168,24,1391.473640,1955.137632,4.431960,0.907848,260.425411
RNN Baseline,RNN,24,24,1376.715652,1926.890466,4.347443,0.910540,78.356911
RNN + RMSprop,RNN,48,24,1368.041997,1924.233401,4.316486,0.910843,30.372446
LSTM 32 Neurons,LSTM,48,24,1400.047234,1995.070825,4.411724,0.904158,89.953964
LSTM + EarlyStopping,LSTM,24,24,1371.594293,1966.050545,4.308456,0.906867,-7.358136
GRU 32 Neurons,GRU,168,24,1393.960551,1965.062114,4.404438,0.906910,133.021532
GRU + EarlyStopping,GRU,48,24,1378.179613,1931.757180,4.370879,0.910145,178.304365
GRU + EarlyStopping,GRU,24,24,1375.318934,1951.272602,4.308715,0.908262,-55.753064
Bi-LSTM + EarlyStopping,Bi-LSTM,48,24,1396.554288,1976.800626,4.400636,0.905846,98.702275
